Employee_id,Employee_name,Employee_Designation,Basic_Salary
EMP260001,Priya Sharma,Senior Manager,129139
EMP260002,Divya Reddy,HR,33689
EMP260003,Anita Reddy,Senior Manager,121136
EMP260004,Anita Kumar,Intern,13590
EMP260005,Ravi Singh,Engineer,61025
EMP260006,Anita Kumar,Manager,78890
EMP260007,Sneha Gupta,Intern,13581
EMP260008,Kiran Mehta,Manager,74180
EMP260009,Vikram Gupta,Manager,96631
EMP260010,Divya Das,Engineer,58809
EMP260011,Rahul Nair,Analyst,69124
EMP260012,Rahul Gupta,Intern,16390
EMP260013,Ravi Nair,Engineer,71808
EMP260014,Vikram Singh,HR,47600
EMP260015,Sneha Reddy,Engineer,46037
EMP260016,Vikram Reddy,Engineer,59233
EMP260017,Vikram Iyer,Analyst,73162
EMP260018,Sneha Gupta,Developer,63956
EMP260019,Anita Gupta,Developer,70294
EMP260020,Sneha Iyer,Analyst,60675
EMP260021,Ravi Reddy,Senior Manager,107362
EMP260022,Anita Patel,HR,31494
EMP260023,Suresh Kumar,Manager,100948
EMP260024,Divya Singh,Analyst,53285
EMP260025,Rahul Mehta,Manager,119812
EMP260026,Vikram Sharma,Junior Developer,26800
EMP260027,Anita Mehta,Analyst,58216
EMP260028,Ravi Sharma,Engineer,61118
EMP260029,Suresh Patel,Senior Manager,108708
EMP260030,Rahul Gupta,Developer,43141
EMP260031,Anita Reddy,Intern,17224
EMP260032,Arun Mehta,Senior Manager,148748
EMP260033,Divya Patel,HR,40371
EMP260034,Arun Kumar,Manager,89788
EMP260035,Ravi Patel,Intern,18144
EMP260036,Suresh Singh,Developer,66981
EMP260037,Vikram Sharma,Intern,18147
EMP260038,Sneha Sharma,HR,30301
EMP260039,Rahul Singh,Manager,105030
EMP260040,Suresh Sharma,Junior Developer,41315
EMP260041,Priya Iyer,Developer,41901
EMP260042,Vikram Singh,Junior Developer,31276
EMP260043,Sneha Iyer,HR,43507
EMP260044,Ravi Mehta,Engineer,70274
EMP260045,Divya Reddy,Junior Developer,27519
EMP260046,Priya Gupta,Engineer,45640
EMP260047,Priya Mehta,Developer,87877
EMP260048,Ravi Patel,Intern,12067
EMP260049,Priya Mehta,Junior Developer,33855
EMP260050,Rahul Iyer,Senior Manager,95125
EMP260051,Suresh Iyer,Senior Manager,130340
EMP260052,Priya Gupta,Intern,15960
EMP260053,Divya Reddy,Senior Manager,128574
EMP260054,Suresh Gupta,Analyst,43894
EMP260055,Kiran Das,Analyst,73357
